clipping_param,init_id,best_epoch,early_stop_time,train_acc,train_auc,test_acc,test_auc,avg_epoch_time,std_epoch_time
0.01,0,47,313.3194221580004,0.7722217576720461,0.9449298941903184,0.7655656240865244,0.9426671744357393,5.4968319676842174,0.49726812509362806
0.01,1,48,318.71360258299967,0.7687097583409984,0.9483494252055577,0.7576731949722303,0.9443467478085855,5.495062113499994,0.43984162138691424
0.01,2,42,281.96695360799936,0.7675390918973158,0.9504132545827472,0.7646886875182695,0.9471593693450074,5.422441415538449,0.4117416136465212
0.015283067326587688,0,45,294.9838906219984,0.7718872815452797,0.9460861463641731,0.7699503069277989,0.9445060565570694,5.363343465854516,0.4364281125794394
0.015283067326587688,1,55,351.91145100100016,0.7652813780416423,0.9482784688253516,0.7664425606547793,0.9455918807856997,5.41402232309231,0.4154776418645757
0.015283067326587688,2,56,357.35768312199775,0.7726398528305042,0.9475962554950119,0.7687810581701257,0.9487368017027068,5.414510350333299,0.4203467372054272
0.023357214690901226,0,50,324.8551967390031,0.777656994732001,0.9543304223851956,0.7734580532008185,0.9537628565336302,5.414253278983384,0.4224598433571359
0.023357214690901226,1,42,285.3656233349984,0.7718036625135881,0.9494770426201322,0.7737503653902368,0.9500328339315546,5.48780044874997,0.4409556092275267
0.023357214690901226,2,47,310.06302474600125,0.7767371853833933,0.9523383539672235,0.7717041800643086,0.9514061019664406,5.439702188526337,0.42871508490860644
0.035696988468260644,0,58,375.84225135399856,0.7955514675140062,0.9561533093592758,0.785735165156387,0.9537423629821892,5.527091931676449,0.4294291115573591
0.035696988468260644,1,48,321.12967136999987,0.7778242327953843,0.9542364471988454,0.7717041800643086,0.9520454449629377,5.53671847189655,0.4403560555431091
0.035696988468260644,2,44,302.48159535800005,0.7721381386403545,0.9534698910576463,0.7763811750950015,0.9517077909036167,5.601511025148149,0.44103995337397217
0.0545559478116852,0,42,283.6621501570007,0.7595952838866126,0.9514721035971863,0.7541654486992108,0.9485596739780436,5.455041349173091,0.429140058696688
0.0545559478116852,1,42,292.23437243600074,0.7879421356300694,0.9549859047740307,0.7822274188833674,0.9519382234169814,5.619891777615399,0.44126566629291963
0.0545559478116852,2,46,311.40709692100245,0.7760682331298604,0.9535386447960549,0.77491961414791,0.9529444932771821,5.5608410164464726,0.4453921479974214
0.08337822234717891,0,59,379.92675440900075,0.7733088050840371,0.9545021150816941,0.7731657410114001,0.9519664579665622,5.506184846507257,0.441286226675898
0.08337822234717891,1,59,386.4729012500038,0.7799983276193662,0.9539197280382217,0.7889505992399883,0.9535916432271632,5.6010565398551275,0.4293148748691399
0.08337822234717891,2,56,373.0779642629959,0.7963040387992307,0.9598519457553732,0.7848582285881321,0.9597062559192371,5.652696428227211,0.44527742949768834
0.12742749857031335,0,42,300.26699827099765,0.7716364244502049,0.9534919278331919,0.7667348728441976,0.9509765196402331,5.774365351365339,0.4647036051381504
0.12742749857031335,1,42,299.7733414289987,0.7917886110878836,0.9616439596503156,0.7839812920198772,0.9587766511155408,5.7648719505576675,0.4591984800273774
0.12742749857031335,2,47,315.0095964099992,0.785851659837779,0.9612899167277533,0.7810581701256942,0.958301499280602,5.5264841475438455,0.4236547091194739
0.19474830399087562,0,48,325.8446560229977,0.7658667112634836,0.948848196217246,0.7585501315404852,0.9471431426346784,5.618011310741339,0.42500561641854967
0.19474830399087562,1,51,336.91970849800146,0.7897817543272849,0.9605682655140172,0.780765857936276,0.9581275108123753,5.523273909803303,0.44744084190255257
0.19474830399087562,2,68,423.8781121979946,0.8071745129191404,0.9667212579941171,0.800350774627302,0.9649446838964864,5.434334771769161,0.4367871169083659
0.29763514416313175,0,45,300.0050358990011,0.7726398528305042,0.9531951347148119,0.7617655656240865,0.9518884038474321,5.454637016345474,0.4354372658991937
0.29763514416313175,1,44,296.1333827969902,0.7830086127602642,0.9580446316687233,0.7772581116632563,0.9552762866281301,5.4839515332775965,0.42663120975226887
0.29763514416313175,2,42,287.33519090000664,0.7762354711932435,0.9553608197005239,0.7728734288219818,0.9515697099171895,5.525676748077051,0.42565026460829425
0.45487779470037754,0,60,386.1921440429942,0.7914541349611172,0.960701171660388,0.7889505992399883,0.9589929241968689,5.517030629185631,0.4318075523254843
0.45487779470037754,1,50,330.78327160999834,0.7738105192741868,0.9538147759711274,0.7731657410114001,0.9504445868513973,5.513054526833305,0.43056888139843635
0.45487779470037754,2,42,289.47045321899895,0.7871059453131533,0.9582917382223803,0.7822274188833674,0.9571562023336534,5.566739484980749,0.46050199191144875
0.6951927961775606,0,47,319.02110773001004,0.7852663266159378,0.959302116838112,0.7845659163987139,0.9577929143449619,5.596861539122983,0.45171428123029295
0.6951927961775606,1,44,298.83119972700115,0.7862697549962372,0.9588682843198703,0.7801812335574393,0.9565036056691342,5.533911106055577,0.4299234976959236
0.6951927961775606,2,43,292.0893818620043,0.7753992808763275,0.9525073624896729,0.7734580532008185,0.95203377435781,5.511120412490647,0.44568291345088046
1.062467830894041,0,42,291.1911369219888,0.7778242327953843,0.9590815430015921,0.7766734872844198,0.9572957436083931,5.599829556192092,0.43613908629007514
1.062467830894041,1,44,305.6703806159985,0.7766535663517017,0.9564177497180728,0.7722888044431453,0.9558743011349822,5.660562603999972,0.4578137889893967
1.062467830894041,2,53,360.54364295099185,0.7709674721966719,0.955775029784173,0.7766734872844198,0.9548327535894847,5.722914967476061,0.4328324845306548
1.623776739188721,0,42,286.8489819100032,0.7843465172673301,0.9611284782090763,0.7760888629055832,0.9602574528150344,5.51632657519237,0.4427262712739287
1.623776739188721,1,54,345.6042509590061,0.785851659837779,0.9582674603365399,0.7819351066939492,0.9572440524794827,5.40006642123447,0.42228815988665214
1.623776739188721,2,42,283.0293259839982,0.8021573710176436,0.966222029228859,0.7956737795966092,0.9629491367955166,5.442871653538427,0.4435817100973266
2.4816289228368236,0,61,392.45762502099205,0.7889455640103687,0.9626286093248206,0.7766734872844198,0.9610470913635821,5.527572183394255,0.446577932434041
2.4816289228368236,1,58,382.09211871400294,0.7972238481478384,0.9643934624661517,0.7942122186495176,0.9626797061020166,5.619001745794161,0.43536649968708574
2.4816289228368236,2,46,314.01307916499536,0.7829249937285726,0.9608797499490768,0.7752119263373283,0.9594321010296165,5.607376413660631,0.4468394889885481
3.79269019073225,0,42,288.4503526499975,0.7789112802073752,0.9589770985080913,0.7766734872844198,0.9560264643141522,5.547122166346106,0.43897529798272344
3.79269019073225,1,47,315.97992285500186,0.7769880424784681,0.960103289611954,0.7681964337912891,0.957592894149647,5.5435074185088045,0.446020256420815
3.79269019073225,2,51,342.22044532400105,0.77916213730245,0.9586322666374385,0.7676118094124526,0.9549409572555296,5.610171234819689,0.4462227961960554
5.7963939533849675,0,50,335.8902485820108,0.8079270842043649,0.9681902843227861,0.8026892721426484,0.9663126863857139,5.59817080970018,0.43987649277190716
5.7963939533849675,1,51,337.6917385630004,0.7812526130947404,0.9599923360720168,0.7670271850336159,0.9578013448585273,5.535930140377055,0.4387199929199237
5.7963939533849675,2,62,397.5447891879994,0.8108537503135713,0.9672877227908516,0.7930429698918445,0.9646967921573313,5.521455405388881,0.43156862886396524
8.858667904100823,0,42,289.3691718330101,0.802073751985952,0.966996420534764,0.8009353990061385,0.9664777724747364,5.564791766019425,0.42854505568746887
8.858667904100823,1,50,334.99320770699705,0.797976419433063,0.965050468213841,0.7901198479976616,0.9601957629001485,5.583220128449951,0.4397604118247177
8.858667904100823,2,47,318.5299860999985,0.7784931850489172,0.9600322128514267,0.7746273019584917,0.9566774945418215,5.588245370175412,0.42949566358145314
13.538761800225432,0,44,303.4864589819954,0.7959695626724642,0.9639465211862327,0.7901198479976616,0.9598118504619871,5.620119610777692,0.4510513072499192
13.538761800225432,1,42,294.16542502396624,0.8021573710176436,0.9656431471916165,0.7930429698918445,0.9632555753466916,5.657027404307043,0.4390315445956739
13.538761800225432,2,42,292.6329018650067,0.7958859436407726,0.9629390968443954,0.7874890382928968,0.9612620454871611,5.627555805096283,0.4371163744046502
20.69138081114788,0,42,290.9567938150067,0.8192992725144242,0.9701699193044465,0.8088278281204326,0.9675948047979217,5.595322957980898,0.45449234926940435
20.69138081114788,1,56,376.8016299719857,0.805334894221925,0.9652804394022598,0.7953814674071908,0.96390200064409,5.709115605636146,0.43733360156959417
20.69138081114788,2,49,331.77518356999644,0.7923739443097249,0.9622240832094344,0.7801812335574393,0.9607220673418864,5.623308196101634,0.4518475936024866
31.622776601683793,0,49,332.5223436100023,0.7953006104189313,0.9640739787830502,0.7886582870505701,0.9624390569812579,5.635971925593259,0.4236930941487208
31.622776601683793,1,46,308.5564404210236,0.7678735680240822,0.9565432182764794,0.7705349313066355,0.9543769374962452,5.509936436089707,0.4225434146408243
31.622776601683793,2,42,285.43213701499553,0.7963040387992307,0.9639768124477385,0.7980122771119555,0.9654141360093552,5.489079557980683,0.42549391873883013
